epoch,train_loss,dice_class_0,dice_class_1
1,0.6072842925786972,0.39872030236680683,0.4510501225789388
2,0.5192851200699806,0.5710013608137766,0.3788520594437917
3,0.4611622355878353,0.4775652786095937,0.48692332704861957
4,0.4731752313673496,0.5327182312806448,0.5834213594595591
5,0.46072107553482056,0.4993448456128438,0.6091523369153341
6,0.4089518003165722,0.5659121970335642,0.6513807972272238
7,0.4211344886571169,0.5278210043907166,0.6105327506860098
8,0.4128642790019512,0.4806550309682886,0.7910746335983276
9,0.4305621571838856,0.5060942148168882,0.7834228277206421
10,0.4361507501453161,0.6170490582784017,0.5551747878392538
